,heading,content,extract_tag,len_cut_heading,len_cut_content,labels
13,“一帶一路”成果顯“一帶一路”成果顯著，沿綫多個重大項目開工啓動著，沿綫 ,"俄羅斯莫喀高鐵, 俄羅斯, 2015年，在中國鐵路總公司牽頭的雙方企業閤作  斯裏蘭卡科隆坡港, 斯裏蘭卡, 2014年，中國交通建設集團與斯裏蘭卡簽署科隆坡",一帶 成果 一路 顯著 項目 開工 動著 重大 蘭卡 俄羅斯 中國 科隆 莫喀高鐵 2015 鐵路 牽頭 雙方 企業 坡港 2014 建設 集團 簽署 交通 公司,8.0,17.0,0
14,新華社：中企承建津巴布韋最大電力建設項目開工 - 中國電力建設集團,2018年 - 新華社津巴布韋萬蓋電由中企承建的津巴布韋萬蓋燃煤電站擴機工程開工儀式27日在項目現場舉行，標誌著這一津巴布韋獨立以來最大的,電力 建設 新華社 項目 開工 中國 集團 中企 巴布 承建 最大 巴布 韋萬蓋 2018 新華 社津 電由 電站 擴機 開工 儀式 27 項目 現場 舉行 標誌 這一津 韋獨立 以來 中企 承建 燃煤 工程 最大,11.0,23.0,0
15,中俄博鰲簽約197億將應用區塊鏈技術共同開發遠東 - 萬鏈之傢,就在剛剛閉幕引中外聚焦的博鰲論壇2018年年會上，俄羅斯國有政策基金——遠東發展  中交産業投資控股有限公司（以下簡稱“中交産投”）是中國交通建設集團有限,中俄博 簽約 197 億將 應用 區塊 鏈技術 開發 遠東 萬鏈 共同 中交 剛剛 閉幕引 博鰲 論壇 2018 俄羅斯國 遠東 發展 業投資 簡稱 中國 建設 集團 聚焦 中外 有限 控股 交通 有限公司 以下 政策 基金,11.0,23.0,1
16,齣海記｜中國企業助緬甸建仰光新城功能類似“深圳”_手機網易網,2018年 -  仰光新城開發公司（NYDC）與中國交通建設股份有限公司一起於  據俄羅斯衛星通訊社北京援引《緬甸時報》（Myanmar Times）,海記 中國 企業助 緬甸建 類似 手機 網易網 仰光 新城 深圳 功能 2018 開發 NYDC 中國 建設 俄羅斯衛星 通訊社 緬甸 時報 Myanmar Times 仰光 援引 新城 交通 有限公司 一起 股份 北京 公司,11.0,20.0,2
17,非洲鐵路中國造，質量效果呱呱叫……_眼界-多維客 - 多維新聞,2018年 - 項目由中國交通建設集團有限公司總承包，中國路橋有限責任公司負責承建， . 硃巴（南蘇丹首都）至尼穆萊（南蘇丹城市，毗鄰烏乾達）的鐵路閤同。,鐵路 中國造 質量 多維客 多維新聞 呱呱叫 眼界 非洲 效果 南蘇丹 2018 項目 中國 建設 集團 中國路橋 責任 負責 至尼穆萊 毗鄰 烏乾達 鐵路 承建 承包 首都 有限 交通 有限公司 城市 公司,9.0,21.0,0
18,中企“一帶一路”交運項目便利全球 - 第一財經,2017年 - 在“一帶一路”國際閤作方麵頗有心得的還有中國交通建設集團。  中遠重工與中遠海運工程物流公司及俄羅斯紅星船廠通力閤作，共同研究方案，並,一帶 交運 項目 財經 中企 便利 一路 第一 全球 中遠 2017 一帶 國際 作方 還有 中國 建設 集團 海運 俄羅斯紅星 船廠 閤作 通力 心得 物流 重工 一路 交通 方案 工程 共同 研究 公司,9.0,24.0,0
19,中資企業參與的海外火電項目，您關注瞭嗎？_中國擬在建項目網,"2017年 - 中國交通建設股份有限公司中國能源建設集團有限公司, 巴基斯坦  建築工程總公司, 津巴布韋, 津巴布韋能源PERLusuluPower600MW煤電廠項目",中資 企業 火電 項目 關注 中國擬 項目網 在建 海外 中國 建設 巴布 能源 2017 集團 建築 PERLusuluPower600MW 煤電廠 項目 有限公司 巴基斯坦 交通 工程 股份 公司,9.0,16.0,0
20,科學網-為一帶一路共贏共利創新適用它國軌距的雙輪高速安全鐵路服務 ,2016年 - 中國準備嚮俄羅斯的高鐵建設投資，提議打造同時適用兩國軌距的高鐵  其中包括中國中車股份有限公司、中國交通建設股份有限公司、中國鐵建,科學網 一帶 贏共利 創新 適用 國軌 雙輪 鐵路 服務 高速 一路 安全 中國 2016 準備 俄羅斯 高鐵建設 投資 提議 同時 適用 兩國 軌距 高鐵 中車 建設 鐵建 有限公司 股份 打造 交通 包括 其中,12.0,21.0,0
21,絲路情 - 中交第四航務工程局有限公司,2015年 - 中國交通建設股份有限公司被視作是“一帶一路”龍頭公司，其海外的業務  此後十多年間，孟加拉、蘇丹、斯裏蘭卡等市場都齣現瞭四航人的身影。,絲路情 中交 航務 工程局 第四 有限公司 2015 中國 建設 視作 一帶 龍頭 業務 蘇丹 蘭卡 市場 瞭四航 孟加拉 十多年 身影 一路 交通 海外 有限公司 股份 公司,6.0,20.0,0
22,2018 年五大科技趨勢預測：區塊鏈、筆記本電腦、智能手機、交互和南方 ,1 - 雲計中國交通建設股份有限公司旗下的中國港灣工程有限責任公司，算：  智能手機、交互和南方港疏浚項目通過烏剋蘭政府投標平颱嚮全球招標。,2018 趨勢 預測 區塊 筆記本 電腦 手機 交互 五大 智能 南方 科技 中國 雲計 建設 港灣 責任 手機 項目 通過 投標平 招標 交互 疏浚 智能 旗下 有限 南方 交通 工程 有限公司 全球 股份 政府 公司,12.0,23.0,0
23,2008年外交部發言人劉建超舉行例行記者會 - 駐澳門公署,2008年 - 問：據報道，中國將派軍艦前往亞丁灣打擊索馬裏海盜，請證實。  北京時間12時43分，中國交通建設集團所屬“振華4”號貨輪在亞丁灣水域,2008 發言人 劉建超 舉行 記者 澳門 公署 例行 外交部 亞丁灣 2008 報道 中國將 軍艦 打擊索 海盜 證實 時間 12 43 中國 建設 集團 所屬 振華 號貨輪 水域 前往 交通 北京,9.0,21.0,0
24,企業榮譽 - 2018世界杯票怎麼買-俄羅斯世界杯投注500-世界杯官方競猜,中國交通建設橋梁建設優秀團隊. 國傢級青年文明號. 山東省思想政治工作優秀企業. 山東省富民興魯勞動奬狀. 全國企業文化建設工作先進單位. logo. 地址：濟南市經,世界杯 企業 榮譽 2018 怎麼 俄羅斯 500 競猜 投注 官方 山東省 企業 中國 建設橋 梁建設 優秀團隊 青年文明 優秀 興魯勞 全國 建設 先進 單位 logo 南市 富民 工作 地址 交通 思想 政治 文化,10.0,22.0,0
25,【中交第一公路工程局有限公司海外分公司_招聘職位】_簡介|地址|電話_ , 現隸屬於中交第一公路工程局有限公司，其總公司中國交通建設股份有限公司係世界500  近50年的海外發展曆程，施工足跡踏遍瞭濛古、伊拉剋、布隆迪、南也門、,中交 職位 簡介 電話 工程局 招聘 分公司 地址 公路 海外 有限公司 第一 現隸屬 中交 中國 建設 500 50 發展 足跡 南也門 伊拉 踏遍 有限公司 工程局 布隆迪 施工 公路 交通 海外 第一 股份 世界 公司,12.0,22.0,3
26,東方工業園： 助力埃塞經濟發展 - 中非閤作論壇,2017年 -  助力埃塞經濟發展的典範，埃塞政府代錶團多次到園區考察，蘇丹副總統及  在公路交通方麵，2014年9月，中國交通建設集團承建的埃塞第一條,東方 工業園 埃塞經濟 發展 作論壇 中非 助力 埃塞 2017 埃塞經濟 發展 典範 園區 蘇丹 總統 2014 中國 建設 集團 承建 公路交通 助力 考察 交通 多次 第一 政府,7.0,20.0,0
27,無數中企坐不住：敘利亞戰後重建中國成主角– 鐵血網 - 鐵血社區,2017年 - 阿薩德的領導下，在俄羅斯和伊朗等國的幫助下，敘利亞政府軍對反政府軍  中國交通建設集團、中國大唐集團、中國港灣工程有限責任公司、中國,無數 敘利亞戰 中國成 鐵血網 鐵血 社區 中企 坐不住 主角 重建 中國 集團 2017 阿薩德 領導下 俄羅斯 等國 幫助 敘利亞 軍對 建設 港灣 責任 政府 大唐 伊朗 有限 交通 工程 公司,10.0,20.0,4
28,“一帶一路”為中國港航産業發展帶來發展機遇 - 中國投資指南網,2015年 - 絲綢之路經濟帶”重點暢通中國經中亞、俄羅斯至歐洲(波羅的海)；中國經 . 上的重要一環，科倫坡港口城項目是中國交通建設集團與斯裏蘭卡港務局,中國 一帶 業發展 帶來 發展 機遇 投資 港航 指南 一路 中國經 2015 絲綢 經濟 重點 暢通 中亞 俄羅斯至 歐洲 波羅 一環 科倫坡 城項 目是 中國 建設 集團 蘭卡 港務局 之路 港口 交通 重要,10.0,23.0,0
29,熱烈慶祝“一帶一路”國際交通聯盟暨世界交通運輸大會新春座談會熱烈召開,2018年 - 來自俄羅斯、哈薩剋斯坦、立陶宛、烏剋蘭、匈牙利、老撾、印度尼西亞、  中國鐵建股份有限公司、中國交通建設股份有限公司、招商局公路網絡科技,熱烈 慶祝 一帶 國際 聯盟 暨世界 運輸大會 談會 召開 交通 新春 一路 中國 尼西 2018 自俄羅斯 哈薩 老撾 鐵建 建設 網絡 有限公司 股份 招商局 斯坦 立陶宛 匈牙利 公路 交通 科技 印度,12.0,19.0,0
30,中國交通建設股份有限公司- 機構庫- 企業社會責任機構指南,中國交通建設股份有限公司（以下簡稱中交股份）成立於2006年，是經  瞭“中國港灣奬學金”，為蘇丹培養留學生10人，中國路橋嚮肯尼亞內羅畢捐贈122萬先,機構 中國 建設 企業 社會責任 指南 交通 有限公司 股份 肯尼 中國 建設 簡稱 中交 2006 是經 中國港 蘇丹 培養 留學生 10 中國路橋 亞內羅畢 捐贈 122 萬先 股份 交通 有限公司 以下 成立,9.0,22.0,0
31,“一帶一路”的全球建設者們：我們愛中國- 中國一帶一路網,2018年 - 中國交通建設股份有限公司（以下簡稱“中國交建”）在京錶彰優秀外籍員工並舉辦媒體見麵會。 這些優秀外籍員工來自南蘇丹、塞爾維亞、,一帶 一路 建設者 我們 愛中國 中國 全球 中國 優秀 外籍 2018 建設 簡稱 交建 員工 並舉 辦媒體 這些 工來 自南 蘇丹 塞爾維亞 交通 有限公司 以下 股份,7.0,19.0,0
32,全球建築業發展趨勢(2016年7月) - EY,俄羅斯; 2%. 意大利; 2%. 歐盟-歐共體; 3%. 德國; 4%. 資料來源：牛津經濟研究  中國交通建設股份有限公司收購瞭澳. 大利亞最大的建築業公司之一John. Holland。,建築業 發展 趨勢 2016 EY 全球 2% 俄羅斯 歐盟 歐共體 3% 德國 4% 資料 來源 經濟 中國 建設 收購 瞭澳 建築業 John Holland 大利 牛津 意大利 交通 有限公司 股份 之一 最大 研究 公司,6.0,27.0,0
33,【中國港灣工程有限責任公司2018招聘信息】-獵聘網, 成立於上世紀80年代，是世界500強企業中國交通建設股份有限公司（CCCC）的子公司，代錶中國交建開拓海外市場，目前在  30-54萬 蘇丹 統招本科 5年工作經驗.,中國 港灣 責任 2018 獵聘網 招聘 有限 工程 信息 公司 中國 世紀 80 500 強企業 建設 CCCC 交建 開拓 市場 30 54 蘇丹 統招 經驗 本科 子公司 交通 海外 有限公司 成立 年代 股份 世界 工作 目前,10.0,26.0,4
34,大馬高鐵重新談判中國交通建設:不擔心_網易海外置業,2018年 - 中國交通建設原參與建設的馬來西亞吉隆波至新加坡高鐵項目，自馬來西亞新政府上颱後，齣現波摺，要求與中方重新談判。集團董事長劉起濤，於6,大馬 高鐵 談判 中國 建設 擔心 網易 置業 交通 海外 重新 建設 西亞 2018 中國 原參 吉隆波 高鐵 項目 自馬來 現波 談判 集團 劉起濤 新政府 中方 新加坡 董事 交通 重新 要求,11.0,20.0,5
35,"“一帶一路”六大經濟走廊的發展現狀與建設進展-建設,經濟,走廊,項目 ",2017年 - 建設中濛俄經濟走廊的關鍵，是把絲綢之路經濟帶同俄羅斯跨歐亞大  中國交通建設股份有限公司子公司中國路橋工程有限責任公司負責項目,經濟 建設 走廊 一帶 發展 現狀 進展 項目 六大 一路 建設 2017 俄經濟 關鍵 絲綢 經濟 帶同 俄羅斯 歐亞大 中國 中國路橋 責任 負責 項目 走廊 之路 子公司 有限 交通 工程 有限公司 股份 公司,10.0,23.0,4
36,二公局2018屆畢業生招聘公告 - 中交第二公路工程局有限公司,2017年 - 中交第二公路工程局有限公司成立於1964年，是中國交通建設股份有限  承建的肯尼亞濛內鐵路、馬來西亞安邦輕軌工程、南蘇丹硃巴國際機場、,二公局 2018 畢業生 中交 工程局 招聘 公路 第二 公告 有限公司 股份有限 肯尼 2017 中交 1964 中國 建設 亞濛 內鐵路 西亞 輕軌 南蘇丹 巴國際 機場 安邦 工程局 承建 公路 交通 工程 第二 有限公司 成立,10.0,23.0,3
37,林民旺：中巴經濟走廊建設應考慮第三方參與嗎？-研究-中國與全球化智庫,2017年 - 巴基斯坦媒體也放風說，俄羅斯同樣有意加入。2016年12月巴基斯坦軍方  印方的這一說從負責港口城項目建設的中國交通建設集團同斯裏蘭卡,林民旺 經濟 建設 考慮 參與 中國 智庫 中巴 全球化 第三方 走廊 研究 巴基斯坦 2017 媒體 放風 俄羅斯 同樣 2016 12 軍方 這一說 負責 城項 目建設 中國 建設 集團 同斯 蘭卡 印方 有意 港口 加入 交通,12.0,23.0,0
38,目錄Contents - 高峰論壇,"蘇丹. Sudan. Ahmed Saad Omer Khadhir. 內閣事務部部長. Minister, Ministry of the Cabinet. * 按照嘉賓 . 唐橋梁，中國交通建設股份有限公司海外業務執行總經理.",目錄 Contents 論壇 高峰 蘇丹 Sudan Ahmed Saad Omer Khadhir 內閣 事務部 部長 Minister Ministry Cabinet 嘉賓 唐橋 中國 建設 業務 執行 總經理 交通 海外 有限公司 按照 股份,4.0,24.0,0
39,2017年財富世界500強企業名單,2017年 - 102 76 盧剋石油公司（LUKOIL). 708.97. 30.91. 俄羅斯. 103 110. 中國交通建設集團有限公司（CHINA COM-. MUNICATIONS CONSTRUCTION).,2017 財富 500 強企業 名單 世界 2017 102 76 LUKOIL 708.97 30.91 俄羅斯 103 110 中國 建設 集團 CHINA COM -. MUNICATIONS CONSTRUCTION 交通 石油 有限公司 公司,6.0,21.0,6
40,中交總承包公司暨中交機電工程局有限公司2017年校園招聘簡章_中國 ,2016年 - 中國交通建設股份有限公司總承包經營分公司暨中交機電工程局有限公司  赤道幾內亞、格陵蘭、蘇丹、安哥拉、尼日利亞等20多個國傢和地區。,中交 交機電 2017 校園 簡章 中國 工程局 招聘 承包 有限公司 公司 2016 中國 建設 經營 交機電 幾內亞 格陵蘭 蘇丹 尼日利亞 20 多個國 地區 有限公司 工程局 安哥拉 承包 赤道 分公司 交通 股份,11.0,20.0,3
41,駐加使館迴應加阻止中企收購事：望理性看待中國發展-中國僑網,2018年 - 中國交通建設股份有限公司旗下中交國際(香港)控股有限公司於2017年10月底在多倫多正式簽署收購加拿大上市公司愛康集團100%股權協議。,中國 駐加 使館 應加 收購 發展 僑網 中企 看待 阻止 理性 2018 中國 建設 中交國際 2017 10 多倫多 簽署 收購 愛康 集團 100% 股權 協議 有限公司 加拿大 月底 旗下 控股 交通 香港 上市公司 正式 股份,11.0,24.0,0
42,公司簡介_中交第四航務工程勘察設計院有限公司, 院，簡稱中交四航院）創建於1964年，是中國交通建設股份有限公司的全資子公司。  公司與巴基斯坦、越南、蘇丹、安哥拉等幾十個國傢有瞭業務的往來，完成瞭,簡介 中交 航務 設計院 勘察 第四 工程 有限公司 公司 簡稱 中交四 航院 創建 1964 中國 建設 全資 蘇丹 幾十個國 瞭業務 往來 安哥拉 巴基斯坦 越南 子公司 交通 有限公司 完成 股份 公司,9.0,21.0,0
43,第一財經| “一帶一路” - 招商局集團,2018年 - 中國交通建設集團有限公司(下稱“中交建”)副總裁文崗最近在談到公司承建  其中，俄羅斯總統普京、白俄羅斯總統盧卡申科、哈薩剋斯坦總統納紮爾,財經 一帶 集團 招商局 一路 第一 總統 白俄 2018 中國 建設 集團 下稱 中交建 總裁 文崗 談到 俄羅斯 盧卡 申科 哈薩 總統納 承建 斯坦 普京 交通 最近 有限公司 其中 公司,6.0,24.0,0
44,馬來西亞或掌握中企違規證據新媒揭更多內幕(圖) - 1+新聞網,對此，俄羅斯科學院東方研究所專傢葉蓮娜•弗米切娃（Elena Fomicheva）在接受  進齣口銀行貸款550億林吉特，用以支付主要建築商中國交通建設股份有限公司。,西亞 違規 證據 新媒 內幕 新聞網 中企 掌握 林吉特 對此 俄羅斯 科學院 東方 葉蓮娜 弗米切 Elena Fomicheva 銀行 貸款 550 建築 商中國 建設 用以 研究所 支付 交通 接受 有限公司 股份 主要,8.0,23.0,0
45,他們選擇俄羅斯 - 投資俄羅斯,生産 Volvo Trucks 和Renault Trucks卡車駕駛艙工廠成立齣現活動的有:卡盧加州長阿納托利阿爾塔莫諾夫，俄羅斯Volvo Group總經理彼得·安德森，Volvo Group生産,俄羅斯 他們 選擇 投資 Volvo Trucks Group Renault 卡車 駕駛艙 工廠 現活動 卡盧 阿納 托利 阿爾塔 莫諾夫 俄羅斯 總經理 安德森 加州 彼得 成立,4.0,19.0,0
46,葉靖斯: 大馬“變天”：新政府重審中資的虛與實- 縱覽中國,2018年 - 有關言論引來柔佛州蘇丹伊布拉欣（Sultan Ibrahim Ismail）的強烈批評。  由中國進齣口銀行提供貸款，中國交通建設公司（中交建）承建，前者為,葉靖斯 大馬 變天 重審 中資 虛與實 縱覽 中國 新政府 伊布拉 2018 關言論 引來 柔佛州 蘇丹 Sultan Ibrahim Ismail 強烈 批評 中國進 銀行 貸款 中國 建設 中交建 承建 前者 交通 提供 公司,9.0,22.0,0
47,法國道達爾與中國交建簽署互為優先供應商協議-國際能源網,recent - 法國能源巨頭道達爾公司與中國交通建設股份有限公司（簡稱“中國交建”）9日在巴黎簽署雙方互為優先供應商的閤作協議，共同拓展雙方在基建領域,法國道 達爾 中國 交建 簽署 互為 優先供 應商 協議 國際 能源 中國 雙方 recent 法國 巨頭 達爾 建設 簡稱 交建 簽署 互為 優先供 應商 作協議 領域 基建 拓展 巴黎 能源 交通 共同 有限公司 股份 公司,11.0,24.0,7
48,疏浚港口，中企為“黑海明新年伊始，珠”增光再配閤外用藥物（彩封開縣申 , - 烏剋蘭海港城市敖德薩有著“黑海明珠”之稱，敖德薩南方港作為烏剋蘭最大再  在歐洲四大疏浚公司參與競標的情況下，中國交通建設股份有限公司,新年伊始 藥物 彩封 開縣 中企 增光 再配 外用 疏浚 黑海 港口 敖德薩有 之稱 敖德薩 港作 歐洲 參與 競標 情況 中國 建設 疏浚 黑海 明珠 海港 四大 南方 交通 有限公司 城市 股份 最大 公司,11.0,22.0,8
49,首頁 中國石化集團公司網站,中國石化是上中下遊一體化的國際化能源化工公司，主要業務包括油氣勘探開發、石油煉製、成品油營銷及分銷、化工産品生産及銷售、國際化經營等等，在《財富》2013,首頁 中國 集團 網站 石化 公司 國際化 化工 中國 遊一體化 業務 油氣 開發 營銷 分銷 品生 銷售 經營 財富 2013 上中下 勘探 成品油 石化 能源 等等 石油 包括 公司 主要,6.0,24.0,0
50,安邦-每日經濟-第5707期-牆外樓,1 -  董事長呂軍齣任中糧集團董事長；中國交通建設集團總經理陳奮健調任  美國總統特朗普啓程訪問歐洲，並與俄羅斯總統普京在芬蘭,經濟 5707 外樓 安邦 每日 總統 董事 特朗普 任中 糧集團 中國 建設 集團 總經理 奮健 調任 美國 程訪 問歐洲 並與 俄羅斯 芬蘭 普京 交通,5.0,19.0,0
51,中國交建京津冀區域總部將落戶河西-新聞中心-北方網,recent - 天津北方網訊：，河西區人民政府與中國交通建設股份有限公司簽署戰略  據悉，該區積極落實天津八條，秉承産業第一、企業傢老大理念，主動對接中國交通建設股份有限公司，  俄羅斯奶奶藉世界杯時隔56年找到中國筆友,京津冀 中國 交建 區域 總部將 落戶 新聞 河西 北方 中心 中國 建設 天津 recent 網訊 簽署 戰略 據悉 該區 積極 落實 八條 企業 主動 接中國 俄羅斯 時隔 56 筆友 交通 有限公司 股份 秉承 世界杯 河西 老大 人民政府 奶奶 理念 北方 找到 第一,10.0,32.0,9
52,深度融入京津冀協同發展戰略中國交建京津冀區域總部將落戶河西-新聞 ,recent - 天津北方網訊：，河西區人民政府與中國交通建設股份有限公司簽署戰略  據悉，該區積極落實天津八條，秉承産業第一、企業傢老大理念，主動對接中國交通建設股份有限公司，  俄羅斯奶奶藉世界杯時隔56年找到中國筆友,京津冀 協同 發展 戰略 中國 交建 區域 總部將 落戶 新聞 融入 河西 深度 中國 建設 天津 recent 網訊 簽署 戰略 據悉 該區 積極 落實 八條 企業 主動 接中國 俄羅斯 時隔 56 筆友 交通 有限公司 股份 秉承 世界杯 河西 老大 人民政府 奶奶 理念 北方 找到 第一,13.0,32.0,9
53,十年央企情攜手又同行－－2018“香港大學生對話央企高管”活動在京 ,recent -  集團有限公司董事會秘書、總經理助理辦公廳主任王緒祥，中國交通建設集團有限公司董事會秘書、董事會辦公室主任周長江，以及國資委黨建局、,央企情 攜手 2018 大學生 對話央 企高管 活動 同行 十年 香港 集團 秘書 董事 recent 總經理 辦公廳 王緒祥 中國 建設 辦公 周長 國資委黨 建局 有限公司 室主任 助理 交通 主任 以及,10.0,19.0,0
54,"國科嘉和完成30億元PE二期基金募集，從投資看中國經濟變革,將軍級 ", -  股份有限公司、中國交通建設股份有限公司、世紀金源集團、方正人壽、百年人壽、王寬誠教育基金會以及多傢上市公司和國際知名主權財富基金。,國科嘉 30 億元 PE 投資 國經濟 變革 將軍級 二期 看中 募集 完成 基金 人壽 中國 建設 世紀 集團 王寬 國際 主權 財富 金源 有限公司 股份 方正 基金 百年 知名 交通 教育 上市公司 以及,13.0,20.0,0
